Textbox147,Textbox148,Textbox152,Table5Title_tbx3,Table5Title_tbx4,Textbox154,Textbox146,Textbox159,Table5Title_tbx2,Table5Title_tbx6
"Pumpkin/squash/gourds: U.S. imports by value ($1,000)","Pumpkin/squash/gourds: U.S. imports by volume (1,000 pounds)",Pumpkin/squash/gourds: U.S. imports unit value ($ per pound),Pumpkin/squash/gourds: U.S. import sources by value,Pumpkin/squash/gourds: U.S. import sources by volume,"Pumpkin/squash/gourds: U.S. exports by value ($1,000) ","Pumpkin/squash/gourds: U.S. exports by volume (1,000 pounds)",Pumpkin/squash/gourds: U.S. exports by unit value ($ per pound),Pumpkin/squash/gourds: U.S. export destinations by value,Pumpkin/squash/gourds: U.S. export destinations by volume

Textbox119,Textbox131,Textbox21,qq3,Textbox23,Textbox124,gen val mo_label,gen val mo_Chart4_CategoryGroup_label,gen val mo_Chart4_CategoryGroup_Chart4_CategoryGroup1_label,gen val mo_Chart4_CategoryGroup_Chart4_CategoryGroup1_Value_Y,stat_year3,gen_qty_mo8,gen_qty_mo9,gen_qty_yr3

Textbox120,Textbox132,Textbox97,qq4,Textbox25,Textbox125,gen qty mo_label,gen qty mo_Chart5_CategoryGroup_label,gen qty mo_Chart5_CategoryGroup_Chart5_CategoryGroup1_label,gen qty mo_Chart5_CategoryGroup_Chart5_CategoryGroup1_Value_Y,stat_year4,gen_qty_mo10,gen_qty_mo11,gen_qty_yr4

Textbox122,Textbox134,Textbox31,qq6,Textbox34,Textbox127,gen qty mo_label,gen qty mo_Chart7_CategoryGroup_label,gen qty mo_Chart7_CategoryGroup_Chart7_CategoryGroup1_label,gen qty mo_Chart7_CategoryGroup_Chart7_CategoryGroup1_Value_Y,stat_year6,gen_qty_mo14,gen_qty_mo15,gen_qty_yr6

Textbox75,marketSegment3,Textbox114,stat_year14,stat_month7,CountryName6,Textbox17,Textbox93,all val yr_label,all val yr_ChartGroup10_label,all val yr_ChartGroup10_Value_Y,ExpDestValue_tbx5,all val yr_label,all val yr_ChartGroup16_label,all val yr_ChartGroup16_Value_Y,Textbox44,Textbox11,Textbox12,Textbox26,Textbox29,Textbox189,seg Num_label,seg Num_Sparkline5_CategoryGroup2_label,seg Num_Sparkline5_CategoryGroup2_Value_Y,Textbox105

Textbox82,marketSegment4,Textbox115,stat_year15,stat_month8,CountryName7,Textbox24,Textbox95,all qty yr_label,all qty yr_ChartGroup13_label,all qty yr_ChartGroup13_Value_Y,ExpDestValue_tbx6,all qty yr_label,all qty yr_ChartGroup17_label,all qty yr_ChartGroup17_Value_Y,Textbox88,Textbox66,Textbox30,Textbox98,ExpDestValue_tbx7,Textbox96,Textbox193,seg Num_label,seg Num_ChartGroup14_label,seg Num_ChartGroup14_Value_Y,Textbox106

Textbox129,Textbox141,Textbox35,qq7,Textbox38,Textbox128,all val mo_label,all val mo_Chart8_CategoryGroup_label,all val mo_Chart8_CategoryGroup_Chart8_CategoryGroup1_label,all val mo_Chart8_CategoryGroup_Chart8_CategoryGroup1_Value_Y,stat_year7,gen_qty_mo16,gen_qty_mo17,gen_qty_yr7
,,,,,,all val mo,2019,,1549.963,,,,
,,,,,,all val mo,2019,,1480.613,,,,
,,,,,,all val mo,2019,,1661.142,,,,
,,,,,,all val mo,2019,,1729.115,,,,
,,,,,,all val mo,2019,,2824.434,,,,
,,,,,,all val mo,2019,,2394.054,,,,
,,,,,,all val mo,2019,,2038.188,,,,
,,,,,,all val mo,2019,,1174.376,,,,
,,,,,,all val mo,2019,,2566.585,,,,
,,,,,,all val mo,2019,,2538.412,,,,
,,,,,,all val mo,2019,,2277.965,,,,
,,,,,,all val mo,2019,,2265.049,,,,
,,,,,,all val mo,2020,,1619.228,,,,
,,,,,,all val mo,2020,,1746.616,,,,
,,,,,,all val mo,2020,,1461.93,,,,
,,,,,,all val mo,2020,,1663.906,,,,
,,,,,,all val mo,2020,,1686.515,,,,
,,,,,,all val mo,2020,,2511.68,,,,
,,,,,,all val mo,2020,,1870.37,,,,
,,,,,,all val mo,2020,,1360.21,,,,
,,,,,,all val mo,2020,,2966.051,,,,
,,,,,,all val mo,2020,,3391.043,,,,
,,,,,,all val mo,2020,,1614.91,,,,
,,,,,,all val mo,2020,,1414.758,,,,
,,,,,,all val mo,2021,,1405.367,,,,
,,,,,,all val mo,2021,,1211.785,,,,
,,,,,,all val mo,2021,,1342.316,,,,
,,,,,,all val mo,2021,,1392.649,,,,
,,,,,,all val mo,2021,,1442.694,,,,
,,,,,,all val mo,2021,,1638.165,,,,
,,,,,,all val mo,2021,,1869.829,,,,
,,,,,,all val mo,2021,,1530.429,,,,
,,,,,,all val mo,2021,,2719.006,,,,
,,,,,,all val mo,2021,,2896.141,,,,
,,,,,,all val mo,2021,,1531.455,,,,
,,,,,,all val mo,2021,,1343.668,,,,
,,,,,,all val mo,2022,,1358.245,,,,
,,,,,,all val mo,2022,,1269.524,,,,
,,,,,,all val mo,2022,,1280.508,,,,
,,,,,,all val mo,2022,,1248.611,,,,
,,,,,,all val mo,2022,,1703.076,,,,
,,,,,,all val mo,2022,,2727.978,,,,
,,,,,,all val mo,2022,,2309.998,,,,
,,,,,,all val mo,2022,,1448.942,,,,
,,,,,,all val mo,2022,,2896.688,,,,
,,,,,,all val mo,2022,,2968.52,,,,
,,,,,,all val mo,2022,,1607.177,,,,
,,,,,,all val mo,2022,,1544.748,,,,
,,,,,,all val mo,2023,,1474.155,,,,
,,,,,,all val mo,2023,,1471.763,,,,
,,,,,,all val mo,2023,,1572.06,,,,
,,,,,,all val mo,2023,,1449.192,,,,
,,,,,,all val mo,2023,,1739.758,,,,
,,,,,,all val mo,2023,,2326.733,,,,
,Fresh or chilled ,Market year*,Quarter 1,Jan,Q1,,,,,2023,"1,474","4,518","10,034"
,Fresh or chilled ,Market year*,Quarter 1,Feb,Q1,,,,,2023,"1,472","4,518","10,034"
,Fresh or chilled ,Market year*,Quarter 1,Mar,Q1,,,,,2023,"1,572","4,518","10,034"
,Fresh or chilled ,Market year*,Quarter 2,Apr,Q2,,,,,2023,"1,449","5,516","10,034"
,Fresh or chilled ,Market year*,Quarter 2,May,Q2,,,,,2023,"1,740","5,516","10,034"
,Fresh or chilled ,Market year*,Quarter 2,Jun,Q2,,,,,2023,"2,327","5,516","10,034"
,Fresh or chilled ,Market year*,Quarter 3,Jul,Q3,,,,,2023,NA,,"10,034"
,Fresh or chilled ,Market year*,Quarter 3,Aug,Q3,,,,,2023,NA,,"10,034"
,Fresh or chilled ,Market year*,Quarter 3,Sep,Q3,,,,,2023,NA,,"10,034"
,Fresh or chilled ,Market year*,Quarter 4,Oct,Q4,,,,,2023,NA,,"10,034"
,Fresh or chilled ,Market year*,Quarter 4,Nov,Q4,,,,,2023,NA,,"10,034"
,Fresh or chilled ,Market year*,Quarter 4,Dec,Q4,,,,,2023,NA,,"10,034"
,Fresh or chilled ,Market year*,Quarter 1,Jan,Q1,,,,,2022,"1,358","3,908","22,364"
,Fresh or chilled ,Market year*,Quarter 1,Feb,Q1,,,,,2022,"1,270","3,908","22,364"
,Fresh or chilled ,Market year*,Quarter 1,Mar,Q1,,,,,2022,"1,281","3,908","22,364"
,Fresh or chilled ,Market year*,Quarter 2,Apr,Q2,,,,,2022,"1,249","5,680","22,364"
,Fresh or chilled ,Market year*,Quarter 2,May,Q2,,,,,2022,"1,703","5,680","22,364"
,Fresh or chilled ,Market year*,Quarter 2,Jun,Q2,,,,,2022,"2,728","5,680","22,364"
,Fresh or chilled ,Market year*,Quarter 3,Jul,Q3,,,,,2022,"2,310","6,656","22,364"
,Fresh or chilled ,Market year*,Quarter 3,Aug,Q3,,,,,2022,"1,449","6,656","22,364"
,Fresh or chilled ,Market year*,Quarter 3,Sep,Q3,,,,,2022,"2,897","6,656","22,364"
,Fresh or chilled ,Market year*,Quarter 4,Oct,Q4,,,,,2022,"2,969","6,120","22,364"
,Fresh or chilled ,Market year*,Quarter 4,Nov,Q4,,,,,2022,"1,607","6,120","22,364"
,Fresh or chilled ,Market year*,Quarter 4,Dec,Q4,,,,,2022,"1,545","6,120","22,364"
,Fresh or chilled ,Market year*,Quarter 1,Jan,Q1,,,,,2021,"1,405","3,959","20,324"
,Fresh or chilled ,Market year*,Quarter 1,Feb,Q1,,,,,2021,"1,212","3,959","20,324"
,Fresh or chilled ,Market year*,Quarter 1,Mar,Q1,,,,,2021,"1,342","3,959","20,324"
,Fresh or chilled ,Market year*,Quarter 2,Apr,Q2,,,,,2021,"1,393","4,474","20,324"
,Fresh or chilled ,Market year*,Quarter 2,May,Q2,,,,,2021,"1,443","4,474","20,324"
,Fresh or chilled ,Market year*,Quarter 2,Jun,Q2,,,,,2021,"1,638","4,474","20,324"
,Fresh or chilled ,Market year*,Quarter 3,Jul,Q3,,,,,2021,"1,870","6,119","20,324"
,Fresh or chilled ,Market year*,Quarter 3,Aug,Q3,,,,,2021,"1,530","6,119","20,324"
,Fresh or chilled ,Market year*,Quarter 3,Sep,Q3,,,,,2021,"2,719","6,119","20,324"
,Fresh or chilled ,Market year*,Quarter 4,Oct,Q4,,,,,2021,"2,896","5,771","20,324"
,Fresh or chilled ,Market year*,Quarter 4,Nov,Q4,,,,,2021,"1,531","5,771","20,324"
,Fresh or chilled ,Market year*,Quarter 4,Dec,Q4,,,,,2021,"1,344","5,771","20,324"
,Fresh or chilled ,Market year*,Quarter 1,Jan,Q1,,,,,2020,"1,619","4,828","23,307"
,Fresh or chilled ,Market year*,Quarter 1,Feb,Q1,,,,,2020,"1,747","4,828","23,307"
,Fresh or chilled ,Market year*,Quarter 1,Mar,Q1,,,,,2020,"1,462","4,828","23,307"
,Fresh or chilled ,Market year*,Quarter 2,Apr,Q2,,,,,2020,"1,664","5,862","23,307"
